ID,Isconfidential,ProjectName,Street,City,State,Zipcode,Country,LEEDSystemVersionDisplayName,PointsAchieved,CertLevel,CertDate,IsCertified,OwnerTypes,GrossSqFoot,TotalPropArea,ProjectTypes,OwnerOrganization,RegistrationDate
1000038649,No,Project Magnum,12 Marynarska,Warsaw,Warszawa,02-674,PL,LEED-CI v2009,"","","",No,Corporate: Publicly Traded,135855.4,"",Office: Administrative/Professional,CITI,1/23/2014 0:00
1000038650,No,DC Bco Popular-Data Center Consultores,"Avenida 8, Calle 2",San Jose,"\\\"\\\"",1000,CR,LEED-NC v2009,44,"","",No,Investor: Bank,5564,10763,Datacenter,Banco Popular,1/23/2014 0:00
1000038651,No,CENTRO CANALEJAS MADRID,ALCALÁ 6-14,MADRID,Madrid,28014,ES,LEED-NC v2009,"","","",No,"",706713.89,0,"Lodging: Hotel/Motel/Resort, Select Service",CENTRO CANALEJAS MADRID SL,1/23/2014 0:00
1000038652,No,Lakeshore Towers B1 - Recertification,18101 Von Karman Ave.,Irvine,CA,92612,US,LEED-EB:OM v2009,61,Gold,3/31/2015 0:00,Yes,Corporate: Privately Held,424108,420400,Office: Mixed-Use,Sentre Partners,1/23/2014 0:00
1000038654,No,3121 Michelson,3121 Michelson Drive,Irvine,CA,92612,US,LEED-EB:OM v2009,62,Gold,8/14/2014 0:00,Yes,Investor: Investment Manager,158603,164065,Office: Financial,LBA Realty,1/23/2014 0:00
1000038656,No,81 Prospect Street,81 Prospect Street,Brooklyn,NY,11201,US,LEED-CS v2009,"","","",No,Corporate: Privately Held,83075,"",Office: Mixed-Use,RFR Realty,1/23/2014 0:00
1000038657,No,Lakeshore Towers B3 - Recertification,18111 Von Karman Ave.,Irvine,CA,92612,US,LEED-EB:OM v2009,64,Gold,3/31/2015 0:00,Yes,Corporate: Privately Held,247504,420400,Office: Mixed-Use,Sentre Partners,1/23/2014 0:00
1000038660,No,Grainger Jacksonville Dist Center,8001 Forshee Drive,Jacksonville,FL,32219,US,LEED-EB:OM v2009,61,Gold,11/4/2014 0:00,Yes,Corporate: Publicly Traded,298121,1382594,"Warehouse and Distribution Center: Nonrefrigerated, Distribu",Grainger,1/23/2014 0:00
1000038661,No,N Kansas Expy KS,2645 North Kansas Expressway,Springfield,MO,65803,US,LEED-CI v2009,61,Gold,7/16/2014 0:00,Yes,"",2319,"",Retail: Open Shopping Center,Verizon Wireless,1/23/2014 0:00
1000038662,No,Novi MI,26401 Novi Road,Novi,MI,48375,US,LEED-CI v2009,44,Certified,4/10/2014 0:00,Yes,"",5371,"",Retail: Open Shopping Center,Verizon Wireless,1/23/2014 0:00
1000038663,No,Auburn Hills MI,3920 Baldwin Rd,Auburn Hills,MI,48326,US,LEED-CI v2009,45,Certified,6/27/2014 0:00,Yes,"",3404,"",Retail: Open Shopping Center,Verizon Wireless,1/23/2014 0:00
1000038664,No,Oak Park KS,11860 W 95th Street,Overland Park,KS,66214,US,LEED-CI v2009,52,Silver,4/30/2014 0:00,Yes,"",6306,"",Retail: Open Shopping Center,Verizon Wireless,1/23/2014 0:00
1000038665,No,Sandusky OH,4816 MILAN RD,Sandusky,OH,44870,US,LEED-CI v2009,45,Certified,1/7/2015 0:00,Yes,"",4987,"",Retail: Open Shopping Center,Verizon Wireless,1/23/2014 0:00
1000038667,No,Huber Heights OH,8250 Old Troy Pike,Huber Heights,OH,45424,US,LEED-CI v2009,47,Certified,12/22/2014 0:00,Yes,"",5951,"",Retail: Open Shopping Center,Verizon Wireless,1/23/2014 0:00
1000038674,No,151 Detroit Street Recertification,151 Detroit Street,Denver,CO,80206,US,LEED-EB:OM v2009,"","","",No,Investor: Investment Manager,175910,23938,Office: Other Office,"151 Detroit Street CF, LLC",1/23/2014 0:00
1000038675,No,Room and Board Central Campus,4600 Olson Memorial Highway,Minneapolis,MN,55422,US,LEED-EB:OM v2009,72,"","",No,Corporate: Privately Held,261186,877971,"Warehouse and Distribution Center: Nonrefrigerated, Distribu",Room & Board,1/23/2014 0:00
1000038678,No,Indumotora A2,"Ruta 5 Norte, N# 19990, Km.19, Lampa",Santiago,RM - Santiago,9380000,CL,LEED-NC v2009,45,Certified,1/16/2015 0:00,Yes,"",4469.27,14773,Retail: Vehicle Dealership,Indumotora,1/23/2014 0:00
1000038679,No,HISD Lee High School,6529 Beverly Hill,Houston,TX,77057,US,LEED FOR SCHOOLS v2009,"","","",No,"Educational: K-12 School, Public",249531,915821,"Core Learning Space: K-12, High School",Houston Independent School District,1/23/2014 0:00
1000038693,No,Cupertino Village Redevlopment,10869 N. Wolfe Road,Cupertino,CA,95014,US,LEED-CS v2009,"","","",No,"Investor: REIT, Publicly traded",24420,126557,Retail: Open Shopping Center,Kimco Realty,1/23/2014 0:00
1000038695,No,POLARIS,Blk 1 Lot 6&7 Filinvest Corporate City Alabang,Muntinlupa City,South Luzon,1781,PH,LEED-CS v2009,"","","",No,Corporate: Privately Held,523368,0,Office: Administrative/Professional,Aeon Prime Development Corp,1/24/2014 0:00
1000038697,No,Changsha Kaisa Plaza,No. 214 Wuyi Rd,Changsha,Hunan,410007,CN,LEED-CS v2009,"","","",No,Corporate: Privately Held,2079984,"",Office: Mixed-Use,Hunan Xiangyong Property Co. Ltd,1/24/2014 0:00
1000038702,No,USBP Falfurrias Admin Checkpoint,US HWY 281,Falfurrias,TX,78355,US,LEED-NC v2009,"","","",No,Government Use: Federal,8665,"",Office: Government,US Army Corps Of Engineers,1/24/2014 0:00
1000038703,No,The Public Library St Bernard Branch,4828 Vine Street,St Bernard,OH,45217,US,LEED-NC v2009,43,"","",No,"Government Use: Local, County",8000,28395,Public Assembly: Library,The Public Library Of Cincinnati And Ham,1/24/2014 0:00
1000038704,No,The Public Library Reading Branch,8740 Reading Road,Reading,OH,45215,US,LEED-NC v2009,36,"","",No,"Government Use: Local, County",11975,90174,Public Assembly: Library,The Public Library Of Cincinnati And Ham,1/24/2014 0:00
1000038711,No,Max Hayes,2211 West 65th Street,Cleveland,OH,44114,US,LEED FOR SCHOOLS v2009,"","","",No,"Government Use: Local, City",170601,"","Core Learning Space: K-12, High School",CMSD,1/24/2014 0:00
1000038712,No,Loveland Fire Station No 2,3070 West 29th Street,Loveland,CO,80537,US,LEED-NC v2009,15,"","",No,"Government Use: Local, City",13800,167852,Public Order and Safety: Fire/Police Station,Loveland Fire Rescue Authority,1/24/2014 0:00
1000038716,No,Artspace Bell School,1010 N Galvez Street,New Orleans,LA,70119,US,LEED v4 BD+C: NC,"","","",No,"",130000,"",Multi-Family Residential: Apartment,"Artspace Projects, Inc",1/24/2014 0:00
1000038717,No,Black Hawk College - Health Sciences,6600 34th Ave,Moline,IL,61265,US,LEED-NC v2009,34,"","",No,"Educational: College, Public",46319,393165,Core Learning Space: College/University,Black Hawk College,1/24/2014 0:00
1000038720,No,Holy Innocents Math Science Center,805 Mount Vernon Highway,Atlanta,GA,30327,US,LEED FOR SCHOOLS v2009,"","","",No,"",65548,111385,Core Learning Space: K-12 High School,Holy Innocents Episcopal School,1/26/2014 0:00
1000038721,No,The Palestinian Museum,Town Of Birzeit,Ramallah,"\\\"\\\"",0,PS,LEED-NC v2009,"","","",No,Non-Profit (that do not fit into other c,30570,"",Public Assembly: Other Assembly,Welfare Association,1/27/2014 0:00
1000038723,No,Repair Dental Clinic 3 Bldg 2954,2954 Carrington Rd,Fort Bliss,TX,79916,US,LEED-HC v2009,"","","",No,Government Use: Federal,17903,142964,Health Care: Clinic/Other Outpatient,US Army Corps Of Engineers,1/27/2014 0:00
1000038724,No,P-1501-DLA Troop Support HQ - GPC,Foster Avenue- NSA Philadelphia,Philadelphia,PA,19111,US,LEED-NC v2009,"","","",No,Government Use: Federal,106400,375503,Office: Government,DLA Installation Support,1/27/2014 0:00
1000038726,No,645 H Street NE,"645 H St, NE",Washington,DC,20002,US,LEED-CI v2009,"","","",No,Corporate: Privately Held,83850,"",Office: Administrative/Professional,JAIR LYNCH Development Partners,1/27/2014 0:00
1000038727,No,Pottsgrove High School,1345 Kauffman Road,Pottstown,PA,19464,US,LEED FOR SCHOOLS v2009,20,"","",No,"Educational: K-12 School, Public",198439,1867914,"Core Learning Space: K-12, High School",Pottsgrove School District,1/27/2014 0:00
1000038728,No,Brickell 10,1010 SW 2nd Avenue,Miami,FL,33130,US,LEED-NC v2009,"","","",No,Investor: Investment Manager,224127,33816,Multi-Family Residential: Condominium,Waterstone Capital,1/27/2014 0:00
1000038729,No,Duke Ellington School of the Arts,3500 R Street NW,Washington,DC,20007,US,LEED FOR SCHOOLS v2009,"","","",No,"Government Use: Local, City",249869,"","Core Learning Space: K-12, High School",DC Department Of General Services,1/27/2014 0:00
