ProjectTypes,LEEDSystemVersionDisplayName,Count
"Higher Education, Campus (corp/school), Multi-Unit Residence",LEED For Homes Multi Family Low-Rise,3
Retail: Other Retail,LEED-EB:OM v2009,6
"Multi-Unit Residence, Retail, Other",LEED-NC 2.2,1
"Commercial Office, Daycare, Community Dev., Assembly",LEED-NC 2.2,1
Retail,LEED for Retail (New Construction) Pilot,11
Office: Administrative/Professional,LEED-CS v2009,30
"Higher Education, Library, Military Base",LEED-NC 2.0,1
"Assembly, Other",LEED-EB 2.0,1
Non-residential and Residential,LEED-ND v2009 Stage 2,1
Health Care,LEED-NC 2.2,9
Restaurant,LEED-CI 2.0,3
"Assembly, Higher Education, Campus (corp/school), Other",LEED-NC 2.2,1
"Multi-Unit Residence, Commercial Office",LEED-CS 2.0,1
"Transportation, Military Base, Other",LEED-NC 2.2,1
Single-Family (Detached),LEED For Homes Single Family,8
"Transportation, Industrial, Other",LEED-NC 2.2,1
"Industrial, Military Base",LEED-NC 2.2,1
"Health Care, Higher Education",LEED-NC 2.2,2
"Health Care, Laboratory, Higher Education, Campus (corp/school)",LEED-NC 2.2,1
Industrial,LEED-EB 2.0,1
"Commercial Office, Industrial, Laboratory, Other",LEED-CI 2.0,1
"Single-Family Home, Affordable Housing",LEED For Homes Single Family,3
"Campus (corp/school), Military Base, Other",LEED-NC 2.2,1
Multi-Family Mid-Rise,LEED For Homes Multi Family Mid-Rise,3
Assembly,LEED-NC v2009,1
"Assembly, Daycare, K-12 Education, Recreation, Community Dev.",LEED for Schools,1
"Commercial Office, Other",LEED-CS 2.0,1
Retail: Other Retail,LEED-NC Retail v2009,3
Recreation,LEED-NC 2.2,3
"Laboratory, Higher Education, Military Base",LEED-NC 2.2,1
"Commercial Office, Restaurant, Interpretive Center, Assembly, Community Dev.",LEED-NC 2.2,1
Recreation,LEED-NC v2009,1
"Public Order/Safety, Community Dev.",LEED-NC 2.2,2
"Laboratory, Higher Education",LEED-CI 2.0,1
"Recreation, Community Dev., Other",LEED-NC 2.2,1
"Multi-Unit Residence, Single-Family Home",LEED For Homes Single Family,1
Public Assembly: Social/Meeting,LEED-EB:OM v2009,1
Industrial Manufacturing,LEED-EB:OM v2009,1
K-12 Education,LEED-NC 2.1,6
Commercial Office,LEED-EB 2.0,12
"K-12 Education, Library",LEED for Schools,1
"Public Order/Safety, Campus (corp/school)",LEED-NC 2.2,1
"Commercial Office, Industrial",LEED-EB O&M,1
Public Assembly: Entertainment,LEED-NC v2009,2
"Commercial Office, Industrial, Laboratory",LEED-CI 2.0,1
"Special Needs, Health Care, Campus (corp/school)",LEED-NC 2.2,1
"Commercial Office, Retail",LEED-EB 2.0,2
Retail,LEED-CS 2.0,5
"Commercial Office, Laboratory",LEED-NC 2.2,3
"Commercial Office, Other",LEED-NC 2.2,6
Retail: Convenience Store,LEED-NC v2009,3
Healthcare: Clinic/Other Outpatient,LEED-CI v2009,2
"Recreation, K-12 Education, Daycare",LEED-NC 2.0,1
"Multi-Unit Residence, Military Base",LEED-NC 2.1,2
Office: Administrative/Professional,LEED v4 ID+C: CI,2
"Health Care, Laboratory, Campus (corp/school)",LEED-CI 2.0,2
"Commercial Office, Assembly",LEED-CI 2.0,1
"Commercial Office, Industrial, Transportation, Other",LEED-NC 2.2,1
"Daycare, K-12 Education, Community Dev., Other",LEED-NC 2.2,1
"Commercial Office, Public Order/Safety",LEED-NC 2.2,3
"Commercial Office, Retail, Interpretive Center, Higher Education, Restaurant",LEED-CS 2.0,1
Hotel/Resort,LEED-NC 2.2,15
Public Assembly: Convention Center,LEED-NC v2009,2
"Commercial Office, Retail, Multi-Unit Residence",LEED-NC 2.1,1
Service: Other Service,LEED-NC v2009,11
"",LEED-NC 2.0,1
"Campus (corp/school), Military Base",LEED-NC 2.2,6
"Assembly, Public Order/Safety, Library, Campus (corp/school)",LEED-NC 2.1,1
"Commercial Office, Retail, Interpretive Center, Assembly",LEED-NC 2.2,1
Other,LEED-NC 2.1,2
Public Order/Safety,LEED-NC 2.2,20
"Commercial Office, Other",LEED-CI 2.0,10
Laboratory,LEED-NC v2009,12
